p_values(E1),p_values(E2),p_values(E3),p_values(E4)
,,,
0.0,0.0,0.0,
0.0,,,
,,,
0.0023625545125584057,0.05553289140723109,0.0016057785918143434,0.03255463095805007
0.03292876186238974,0.10216783409516697,0.033745549333995685,0.3295573788007763
0.0,,,
0.0,0.0,0.0,
,,,
0.0020698703297176812,0.05628584792660317,0.0014058812688738528,0.034414842928180554
0.003149135765685365,0.10811809017475739,0.0021424881643966496,0.06834089059066448
,,,
0.0,,,
0.0,,,
0.1219683374384752,0.18397041049508853,0.12486654977854873,0.17621979081993688
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0027864622956229406,0.05144896417022523,0.0018762300102332379,0.03657348053575867
0.0005479939406876253,0.00041596077941510954,0.00045535610405097543,0.00024958685337051086
0.0,0.0,,
0.0,0.0,,
0.13097598408785033,0.30797150749130925,0.10451893730643834,0.20475761418709226
0.0,0.0,,
0.0040938630236981065,0.08297230536417359,0.002761767347969445,0.058043417386413255
0.0,,,
0.004695508155027325,0.1147342820316696,0.0031666605629710404,0.09047714455704627
0.5907722018674934,0.4890527388695597,0.5489271929868522,0.42264973081037427
,,,
,,,
0.47123821629153584,0.3999638869220745,0.463395275698549,0.42264973081037427
0.0,0.0,0.0,
,,,
0.0,0.0,,
0.003364794479046838,0.10024637182950936,0.002280200698735913,0.06873724537150924
,,,
,,,
,,,
0.0,,,
0.0,,,
,,,
0.0,,,
0.0,,,
0.0,0.0,,
0.4992653283624128,0.4104657198638108,0.625,0.42264973081037427
0.7470177871865297,0.625,0.625,0.42264973081037427
,,,
0.525080497976996,0.4347275863102308,0.6249999999999999,0.4226497308103741
0.0007439046932324327,0.0005760328966484018,0.0006188938197585407,0.0003456396582947005
,,,
0.5386354400302316,0.447587917699667,0.625,0.42264973081037427
,,,
0.4185381503637717,0.4185890274215023,0.3624740998331302,0.42264973081037427
0.7251690398147107,0.6015619645647059,0.9612405219744142,0.828468864255315
0.4748165662202965,0.409117580189384,0.45693936673905694,0.42264973081037427
,,,
0.00011571574255765756,9.642965731229858e-05,9.665305708581523e-05,5.7992394814473564e-05
0.5505674177111967,0.6111519834057169,0.42239236014014536,0.3772574589523185
0.19541427630231537,0.1375987762344649,0.315217665840232,0.17255259961189087
0.08683275440585932,0.06365686789481481,0.3200901780110455,0.18636601499683794
0.1848652190345373,0.2597419273735423,0.15792921840426413,0.7350324327145277
0.5027904601230808,0.625,0.41376083035884575,0.42264973081037427
1.442608895651267e-08,1.0212763738587163e-08,1.0890107493446066e-08,6.140249068565893e-09
0.20368410432148917,0.39782969346351643,0.17521453628515113,0.3066653034185569
0.1686190069708809,0.11721538453898542,0.2452257180320577,0.13164428059345035
8.085773863599667e-05,5.712756320853951e-05,6.072841141402583e-05,3.407231498150256e-05
0.5381487193512395,0.6250000000000001,0.44712470833537393,0.4226497308103743
0.05460293581357034,0.04580678154312078,0.07669795640498883,0.17112086740302285
0.4888829260479489,0.42759503408847366,0.7151950608231104,0.5825805052546652
0.6319445089132227,0.5153438848847962,0.49372580644833286,0.3060981480761969
0.038218497347182384,0.03131279364287694,0.05228432416470159,0.08697794017767807
0.8130390873736214,0.7652197043330871,0.8810453955651222,0.8078033462185105
0.261462016984683,0.19030519861333528,0.20496928059236147,0.11843367676759883
0.4921366769270301,0.4320638918536359,0.4574940245469099,0.42264973081037427
0.5299529235122583,0.625,0.4393407952501489,0.42264973081037427
0.33795860117269716,0.25016610684804214,0.4914392940441021,0.4106798305291529
0.5021978374592511,0.4132064802697685,0.625,0.4226497308103741
0.03410091341480318,0.169042377806564,0.02581428881861342,0.108731037749373
